Season,Team,GoalsScored,GoalsConceded,Shots,Fouls,Corners,YellowCards,RedCards,Wins
1993/1994,Albacete,49,58,0,0,0,0,0,10
1993/1994,Ath Bilbao,61,47,0,0,0,0,0,16
1993/1994,Ath Madrid,54,54,0,0,0,0,0,13
1993/1994,Barcelona,91,42,0,0,0,0,0,25
1993/1994,Celta,41,51,0,0,0,0,0,11
1993/1994,La Coruna,54,18,0,0,0,0,0,22
1993/1994,Lerida,29,48,0,0,0,0,0,7
1993/1994,Logrones,47,58,0,0,0,0,0,9
1993/1994,Osasuna,34,63,0,0,0,0,0,8
1993/1994,Oviedo,43,49,0,0,0,0,0,12
1993/1994,Real Madrid,61,49,0,0,0,0,0,19
1993/1994,Santander,44,42,0,0,0,0,0,15
1993/1994,Sevilla,56,42,0,0,0,0,0,15
1993/1994,Sociedad,38,47,0,0,0,0,0,12
1993/1994,Sp Gijon,42,57,0,0,0,0,0,15
1993/1994,Tenerife,50,57,0,0,0,0,0,15
1993/1994,Valencia,55,50,0,0,0,0,0,14
1993/1994,Valladolid,28,51,0,0,0,0,0,8
1993/1994,Vallecano,40,58,0,0,0,0,0,9
1993/1994,Zaragoza,71,47,0,0,0,0,0,19
1994/1995,Albacete,44,61,0,0,0,0,0,10
1994/1995,Ath Bilbao,39,42,0,0,0,0,0,16
1994/1995,Ath Madrid,56,54,0,0,0,0,0,13
1994/1995,Barcelona,60,45,0,0,0,0,0,18
1994/1995,Betis,46,25,0,0,0,0,0,15
1994/1995,Celta,36,48,0,0,0,0,0,11
1994/1995,Compostela,44,56,0,0,0,0,0,11
1994/1995,Espanol,51,35,0,0,0,0,0,14
1994/1995,La Coruna,68,32,0,0,0,0,0,20
1994/1995,Logrones,15,79,0,0,0,0,0,2
1994/1995,Oviedo,45,42,0,0,0,0,0,13
1994/1995,Real Madrid,76,29,0,0,0,0,0,23
1994/1995,Santander,42,47,0,0,0,0,0,13
1994/1995,Sevilla,55,41,0,0,0,0,0,16
1994/1995,Sociedad,56,44,0,0,0,0,0,12
1994/1995,Sp Gijon,42,67,0,0,0,0,0,8
1994/1995,Tenerife,57,57,0,0,0,0,0,13
1994/1995,Valencia,53,48,0,0,0,0,0,13
1994/1995,Valladolid,25,63,0,0,0,0,0,8
1994/1995,Zaragoza,56,51,0,0,0,0,0,18
1995/1996,Albacete,55,81,0,0,0,0,0,10
1995/1996,Ath Bilbao,44,55,0,0,0,0,0,11
1995/1996,Ath Madrid,75,32,0,0,0,0,0,26
1995/1996,Barcelona,72,39,0,0,0,0,0,22
1995/1996,Betis,61,54,0,0,0,0,0,16
1995/1996,Celta,49,51,0,0,0,0,0,12
1995/1996,Compostela,47,54,0,0,0,0,0,17
1995/1996,Espanol,63,36,0,0,0,0,0,20
1995/1996,La Coruna,63,44,0,0,0,0,0,16
1995/1996,Merida,37,62,0,0,0,0,0,10
1995/1996,Oviedo,48,67,0,0,0,0,0,12
1995/1996,Real Madrid,75,51,0,0,0,0,0,20
1995/1996,Salamanca,53,82,0,0,0,0,0,8
1995/1996,Santander,47,69,0,0,0,0,0,11
1995/1996,Sevilla,43,55,0,0,0,0,0,11
1995/1996,Sociedad,62,53,0,0,0,0,0,17
1995/1996,Sp Gijon,51,60,0,0,0,0,0,13
1995/1996,Tenerife,69,54,0,0,0,0,0,20
1995/1996,Valencia,77,51,0,0,0,0,0,26
1995/1996,Valladolid,57,62,0,0,0,0,0,11
1995/1996,Vallecano,47,75,0,0,0,0,0,12
1995/1996,Zaragoza,51,59,0,0,0,0,0,11
1996/1997,Ath Bilbao,72,57,0,0,0,0,0,16
1996/1997,Ath Madrid,76,64,0,0,0,0,0,20
1996/1997,Barcelona,102,48,0,0,0,0,0,28
1996/1997,Betis,81,46,0,0,0,0,0,21
1996/1997,Celta,51,54,0,0,0,0,0,12
1996/1997,Compostela,52,65,0,0,0,0,0,13
1996/1997,Espanol,51,57,0,0,0,0,0,14
1996/1997,Extremadura,35,64,0,0,0,0,0,11
1996/1997,Hercules,40,77,0,0,0,0,0,12
1996/1997,La Coruna,57,30,0,0,0,0,0,21
1996/1997,Logrones,33,85,0,0,0,0,0,9
1996/1997,Oviedo,49,65,0,0,0,0,0,12
1996/1997,Real Madrid,85,36,0,0,0,0,0,27
1996/1997,Santander,52,54,0,0,0,0,0,11
1996/1997,Sevilla,50,69,0,0,0,0,0,12
1996/1997,Sociedad,50,47,0,0,0,0,0,18
1996/1997,Sp Gijon,45,63,0,0,0,0,0,13
1996/1997,Tenerife,69,57,0,0,0,0,0,15
1996/1997,Valencia,63,59,0,0,0,0,0,15
1996/1997,Valladolid,57,46,0,0,0,0,0,18
1996/1997,Vallecano,43,62,0,0,0,0,0,13
1996/1997,Zaragoza,58,66,0,0,0,0,0,12
1997/1998,Ath Bilbao,52,42,0,0,0,0,0,17
1997/1998,Ath Madrid,79,56,0,0,0,0,0,16
1997/1998,Barcelona,78,56,0,0,0,0,0,23
1997/1998,Betis,49,50,0,0,0,0,0,17
1997/1998,Celta,54,47,0,0,0,0,0,17
1997/1998,Compostela,56,66,0,0,0,0,0,11
1997/1998,Espanol,44,31,0,0,0,0,0,12
1997/1998,La Coruna,44,46,0,0,0,0,0,12
1997/1998,Mallorca,55,39,0,0,0,0,0,16
1997/1998,Merida,33,53,0,0,0,0,0,9
1997/1998,Oviedo,36,51,0,0,0,0,0,9
1997/1998,Real Madrid,63,45,0,0,0,0,0,17
1997/1998,Salamanca,46,46,0,0,0,0,0,12
1997/1998,Santander,46,55,0,0,0,0,0,12
1997/1998,Sociedad,60,37,0,0,0,0,0,16
1997/1998,Sp Gijon,31,80,0,0,0,0,0,2
1997/1998,Tenerife,44,57,0,0,0,0,0,11
1997/1998,Valencia,58,52,0,0,0,0,0,16
1997/1998,Valladolid,36,47,0,0,0,0,0,13
1997/1998,Zaragoza,45,53,0,0,0,0,0,12
1998/1999,Alaves,36,63,0,0,0,0,0,11
1998/1999,Ath Bilbao,53,47,0,0,0,0,0,17
1998/1999,Ath Madrid,54,50,0,0,0,0,0,12
1998/1999,Barcelona,87,43,0,0,0,0,0,24
1998/1999,Betis,47,58,0,0,0,0,0,14
1998/1999,Celta,69,41,0,0,0,0,0,17
1998/1999,Espanol,49,38,0,0,0,0,0,16
1998/1999,Extremadura,27,53,0,0,0,0,0,9
1998/1999,La Coruna,55,43,0,0,0,0,0,17
1998/1999,Mallorca,48,31,0,0,0,0,0,20
1998/1999,Oviedo,41,57,0,0,0,0,0,11
1998/1999,Real Madrid,77,62,0,0,0,0,0,21
1998/1999,Salamanca,29,66,0,0,0,0,0,7
1998/1999,Santander,41,53,0,0,0,0,0,10
1998/1999,Sociedad,47,43,0,0,0,0,0,14
1998/1999,Tenerife,41,63,0,0,0,0,0,7
1998/1999,Valencia,63,39,0,0,0,0,0,19
1998/1999,Valladolid,35,44,0,0,0,0,0,13
1998/1999,Villareal,47,63,0,0,0,0,0,8
1998/1999,Zaragoza,57,46,0,0,0,0,0,16
1999/2000,Alaves,41,37,0,0,0,0,0,17
1999/2000,Ath Bilbao,47,57,0,0,0,0,0,12
1999/2000,Ath Madrid,48,64,0,0,0,0,0,9
1999/2000,Barcelona,70,46,0,0,0,0,0,19
1999/2000,Betis,33,56,0,0,0,0,0,11
1999/2000,Celta,45,43,0,0,0,0,0,15
1999/2000,Espanol,51,48,0,0,0,0,0,12
1999/2000,La Coruna,66,44,0,0,0,0,0,21
1999/2000,Malaga,55,50,0,0,0,0,0,11
1999/2000,Mallorca,52,45,0,0,0,0,0,14
1999/2000,Numancia,47,59,0,0,0,0,0,11
1999/2000,Oviedo,44,60,0,0,0,0,0,11
1999/2000,Real Madrid,58,48,0,0,0,0,0,16
1999/2000,Santander,52,50,0,0,0,0,0,10
1999/2000,Sevilla,42,67,0,0,0,0,0,5
1999/2000,Sociedad,42,49,0,0,0,0,0,11
1999/2000,Valencia,59,39,0,0,0,0,0,18
1999/2000,Valladolid,36,44,0,0,0,0,0,14
1999/2000,Vallecano,51,53,0,0,0,0,0,15
1999/2000,Zaragoza,60,40,0,0,0,0,0,16
2000/2001,Alaves,58,59,0,0,0,0,0,14
2000/2001,Ath Bilbao,44,60,0,0,0,0,0,11
2000/2001,Barcelona,80,57,0,0,0,0,0,17
2000/2001,Celta,51,49,0,0,0,0,0,16
2000/2001,Espanol,46,44,0,0,0,0,0,14
2000/2001,La Coruna,73,44,0,0,0,0,0,22
2000/2001,Las Palmas,42,62,0,0,0,0,0,13
2000/2001,Malaga,60,61,0,0,0,0,0,16
2000/2001,Mallorca,61,43,0,0,0,0,0,20
2000/2001,Numancia,40,64,0,0,0,0,0,10
2000/2001,Osasuna,43,54,0,0,0,0,0,10
2000/2001,Oviedo,51,67,0,0,0,0,0,11
2000/2001,Real Madrid,81,40,0,0,0,0,0,24
2000/2001,Santander,48,62,0,0,0,0,0,10
2000/2001,Sociedad,52,68,0,0,0,0,0,11
2000/2001,Valencia,55,34,0,0,0,0,0,18
2000/2001,Valladolid,42,50,0,0,0,0,0,9
2000/2001,Vallecano,56,68,0,0,0,0,0,10
2000/2001,Villarreal,58,52,0,0,0,0,0,16
2000/2001,Zaragoza,54,57,0,0,0,0,0,9
2001/2002,Alaves,41,44,0,0,0,0,0,17
2001/2002,Ath Bilbao,54,66,0,0,0,0,0,14
2001/2002,Barcelona,65,37,0,0,0,0,0,18
2001/2002,Betis,42,34,0,0,0,0,0,15
2001/2002,Celta,64,46,0,0,0,0,0,16
2001/2002,Espanol,47,56,0,0,0,0,0,13
2001/2002,La Coruna,65,41,0,0,0,0,0,20
2001/2002,Las Palmas,40,50,0,0,0,0,0,9
2001/2002,Malaga,44,44,0,0,0,0,0,13
2001/2002,Mallorca,40,52,0,0,0,0,0,11
2001/2002,Osasuna,36,49,0,0,0,0,0,10
2001/2002,Real Madrid,69,44,0,0,0,0,0,19
2001/2002,Sevilla,51,40,0,0,0,0,0,14
2001/2002,Sociedad,48,54,0,0,0,0,0,13
2001/2002,Tenerife,32,58,0,0,0,0,0,10
2001/2002,Valencia,51,27,0,0,0,0,0,21
2001/2002,Valladolid,45,58,0,0,0,0,0,13
2001/2002,Vallecano,46,52,0,0,0,0,0,13
2001/2002,Villarreal,46,55,0,0,0,0,0,11
2001/2002,Zaragoza,35,54,0,0,0,0,0,9
2002/2003,Alaves,38,68,0,0,0,0,0,8
2002/2003,Ath Bilbao,63,61,0,0,0,0,0,15
2002/2003,Ath Madrid,51,56,0,0,0,0,0,12
2002/2003,Barcelona,63,47,0,0,0,0,0,15
2002/2003,Betis,56,53,0,0,0,0,0,14
2002/2003,Celta,45,36,0,0,0,0,0,17
2002/2003,Espanol,48,54,0,0,0,0,0,10
2002/2003,La Coruna,67,47,0,0,0,0,0,22
2002/2003,Malaga,44,49,0,0,0,0,0,11
2002/2003,Mallorca,49,56,0,0,0,0,0,14
2002/2003,Osasuna,40,48,0,0,0,0,0,12
2002/2003,Real Madrid,86,42,0,0,0,0,0,22
2002/2003,Recreativo,35,61,0,0,0,0,0,8
2002/2003,Santander,54,64,0,0,0,0,0,13
2002/2003,Sevilla,38,39,0,0,0,0,0,13
2002/2003,Sociedad,71,45,0,0,0,0,0,22
2002/2003,Valencia,56,35,0,0,0,0,0,17
2002/2003,Valladolid,37,40,0,0,0,0,0,12
2002/2003,Vallecano,31,62,0,0,0,0,0,7
2002/2003,Villarreal,44,53,0,0,0,0,0,11
2003/2004,Albacete,40,48,0,0,0,0,0,13
2003/2004,Ath Bilbao,53,49,0,0,0,0,0,15
2003/2004,Ath Madrid,51,53,0,0,0,0,0,15
2003/2004,Barcelona,63,39,0,0,0,0,0,21
2003/2004,Betis,46,43,0,0,0,0,0,13
2003/2004,Celta,48,68,0,0,0,0,0,9
2003/2004,Espanol,48,64,0,0,0,0,0,13
2003/2004,La Coruna,60,34,0,0,0,0,0,21
2003/2004,Malaga,50,55,0,0,0,0,0,15
2003/2004,Mallorca,54,66,0,0,0,0,0,15
2003/2004,Murcia,29,57,0,0,0,0,0,5
2003/2004,Osasuna,38,37,0,0,0,0,0,11
2003/2004,Real Madrid,72,54,0,0,0,0,0,21
2003/2004,Santander,48,63,0,0,0,0,0,11
2003/2004,Sevilla,56,45,0,0,0,0,0,15
2003/2004,Sociedad,49,53,0,0,0,0,0,11
2003/2004,Valencia,71,27,0,0,0,0,0,23
2003/2004,Valladolid,46,56,0,0,0,0,0,10
2003/2004,Villarreal,47,49,0,0,0,0,0,15
2003/2004,Zaragoza,46,55,0,0,0,0,0,13
2004/2005,Albacete,33,56,0,0,0,0,0,6
2004/2005,Ath Bilbao,59,54,0,0,0,0,0,14
2004/2005,Ath Madrid,40,34,0,0,0,0,0,13
2004/2005,Barcelona,73,29,0,0,0,0,0,25
2004/2005,Betis,62,50,0,0,0,0,0,16
2004/2005,Espanol,54,46,0,0,0,0,0,17
2004/2005,Getafe,38,46,0,0,0,0,0,12
2004/2005,La Coruna,46,50,0,0,0,0,0,12
2004/2005,Levante,39,58,0,0,0,0,0,9
2004/2005,Malaga,40,48,0,0,0,0,0,15
2004/2005,Mallorca,42,63,0,0,0,0,0,10
2004/2005,Numancia,30,61,0,0,0,0,0,6
2004/2005,Osasuna,46,65,0,0,0,0,0,12
2004/2005,Real Madrid,71,32,0,0,0,0,0,25
2004/2005,Santander,41,58,0,0,0,0,0,12
2004/2005,Sevilla,44,41,0,0,0,0,0,17
2004/2005,Sociedad,47,56,0,0,0,0,0,13
2004/2005,Valencia,54,39,0,0,0,0,0,14
2004/2005,Villarreal,69,37,0,0,0,0,0,18
2004/2005,Zaragoza,52,57,0,0,0,0,0,14
2005/2006,Alaves,35,54,408,697,91,88,4,9
2005/2006,Ath Bilbao,40,46,446,719,106,92,6,11
2005/2006,Ath Madrid,45,37,539,795,133,115,10,13
2005/2006,Barcelona,80,35,663,639,131,71,6,25
2005/2006,Betis,34,51,500,817,88,103,7,10
2005/2006,Cadiz,36,52,363,692,109,89,5,8
2005/2006,Celta,45,33,448,697,93,78,2,20
2005/2006,Espanol,36,56,418,719,100,106,9,10
2005/2006,Getafe,54,49,535,748,125,94,8,15
2005/2006,La Coruna,47,45,509,802,97,117,5,15
2005/2006,Malaga,36,68,435,888,101,112,12,5
2005/2006,Mallorca,37,51,430,753,110,94,9,10
2005/2006,Osasuna,49,43,478,807,78,117,7,21
2005/2006,Real Madrid,70,40,564,742,109,108,11,20
2005/2006,Santander,36,49,385,854,107,127,10,9
2005/2006,Sevilla,54,39,544,723,148,100,9,20
2005/2006,Sociedad,48,65,442,700,91,82,10,11
2005/2006,Valencia,58,33,482,697,140,84,6,19
2005/2006,Villarreal,50,39,450,645,101,107,5,14
2005/2006,Zaragoza,46,51,496,680,115,102,6,10
2006/2007,Ath Bilbao,44,62,417,700,106,85,8,10
2006/2007,Ath Madrid,46,39,572,706,124,108,9,17
2006/2007,Barcelona,78,33,550,590,97,78,7,22
2006/2007,Betis,36,49,443,712,95,94,10,8
2006/2007,Celta,40,59,480,660,109,89,11,10
2006/2007,Espanol,46,53,406,758,78,98,8,12
2006/2007,Getafe,39,33,444,708,109,89,6,14
2006/2007,Gimnastic,34,69,381,787,116,89,6,7
2006/2007,La Coruna,32,45,469,708,90,105,11,12
2006/2007,Levante,37,53,434,816,115,108,13,10
2006/2007,Mallorca,41,47,496,718,115,89,5,14
2006/2007,Osasuna,51,49,465,676,123,112,5,13
2006/2007,Real Madrid,66,40,501,799,125,112,10,23
2006/2007,Recreativo,54,52,439,615,114,59,3,15
2006/2007,Santander,42,48,429,784,108,111,9,12
2006/2007,Sevilla,64,35,500,539,120,96,11,21
2006/2007,Sociedad,32,47,359,700,95,85,4,8
2006/2007,Valencia,57,42,440,625,107,99,9,20
2006/2007,Villarreal,48,44,426,653,89,89,4,18
2006/2007,Zaragoza,55,43,486,664,117,105,8,16
2007/2008,Almeria,42,45,436,761,128,100,8,14
2007/2008,Ath Bilbao,40,43,441,684,89,110,8,13
2007/2008,Ath Madrid,66,47,517,674,93,112,7,19
2007/2008,Barcelona,76,43,563,558,144,75,5,19
2007/2008,Betis,45,51,435,739,98,100,5,12
2007/2008,Espanol,43,53,438,749,92,102,6,13
2007/2008,Getafe,44,48,514,582,126,81,9,12
2007/2008,La Coruna,46,47,468,598,105,72,5,15
2007/2008,Levante,33,75,413,631,105,94,2,7
2007/2008,Mallorca,69,54,477,610,117,82,11,15
2007/2008,Murcia,36,65,393,661,101,107,6,7
2007/2008,Osasuna,37,44,454,677,116,105,10,12
2007/2008,Real Madrid,84,36,555,612,95,89,6,27
2007/2008,Recreativo,40,60,441,753,120,112,10,11
2007/2008,Santander,42,41,461,650,94,85,8,17
2007/2008,Sevilla,75,49,565,651,119,96,10,20
2007/2008,Valencia,48,62,380,676,112,88,8,15
2007/2008,Valladolid,42,57,480,665,136,78,7,11
2007/2008,Villarreal,63,40,441,584,90,83,3,24
2007/2008,Zaragoza,50,61,506,667,114,104,9,10
2008/2009,Almeria,45,61,416,660,124,94,12,13
2008/2009,Ath Bilbao,47,62,472,684,102,105,13,12
2008/2009,Ath Madrid,80,57,560,633,126,108,6,20
2008/2009,Barcelona,105,35,707,488,140,71,6,27
2008/2009,Betis,51,58,556,637,102,96,9,10
2008/2009,Espanol,46,49,422,673,75,100,6,12
2008/2009,Getafe,50,56,580,545,103,119,7,10
2008/2009,La Coruna,48,47,490,523,123,81,4,16
2008/2009,Malaga,55,59,443,616,102,96,7,15
2008/2009,Mallorca,53,60,561,674,118,109,7,14
2008/2009,Numancia,38,69,422,665,85,97,9,10
2008/2009,Osasuna,41,47,427,649,124,101,12,10
2008/2009,Real Madrid,83,52,626,642,107,111,9,25
2008/2009,Recreativo,34,57,404,660,125,91,6,8
2008/2009,Santander,49,48,442,717,105,126,9,12
2008/2009,Sevilla,54,39,546,616,125,96,8,21
2008/2009,Sp Gijon,47,79,475,732,106,119,5,14
2008/2009,Valencia,68,54,530,676,112,108,6,18
2008/2009,Valladolid,46,58,468,578,146,76,10,12
2008/2009,Villarreal,61,54,487,587,99,92,5,18
2009/2010,Almeria,43,55,440,628,127,92,6,10
2009/2010,Ath Bilbao,50,53,483,569,127,91,10,15
2009/2010,Ath Madrid,57,61,552,610,117,85,7,13
2009/2010,Barcelona,98,24,594,513,146,73,5,31
2009/2010,Espanol,29,46,461,621,126,107,9,11
2009/2010,Getafe,58,48,548,528,161,109,4,17
2009/2010,La Coruna,35,49,394,488,85,64,6,13
2009/2010,Malaga,42,48,457,681,110,130,10,7
2009/2010,Mallorca,59,44,486,672,104,94,4,18
2009/2010,Osasuna,37,46,423,618,113,80,9,11
2009/2010,Real Madrid,102,35,816,585,115,88,5,31
2009/2010,Santander,42,59,402,718,98,99,7,9
2009/2010,Sevilla,65,49,504,600,145,95,10,19
2009/2010,Sp Gijon,36,51,413,595,98,96,6,9
2009/2010,Tenerife,40,74,539,614,128,86,4,9
